pdfsize,metadata size,pages,xref Length,title characters,isEncrypted,embedded files,images,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,Colors,Class
8,180,1,11,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
4,468,2,13,16,0,0,0,12,12,3,3,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
17,250,1,15,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
7,252,3,16,45,0,0,0,15,15,4,4,1,1,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
14,224,0,20,7,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
2048,291,1,27,3,0,0,0,29,29,6,6,3,3,3,1,0,0,2,3,0,0,2,0,0,0,0,0,0,Malicious
6,250,1,15,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
2,256,1,15,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
14,256,1,16,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
4,211,1,28,0,0,0,0,14,14,6,6,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
5,246,1,16,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
10,180,15,45,0,0,0,0,19,19,1,1,1,1,1,15,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
17,373,8,27,10,0,0,0,26,26,9,9,1,1,1,8,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
1,180,1,111714,0,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
7,180,1,11,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
14,180,1,15,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
8,235,3,16,29,0,0,0,15,15,4,4,1,1,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
15,256,1,16,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
10,180,22,36,0,0,0,0,26,26,1,1,1,1,1,22,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
13,475,7,25,16,0,0,0,24,24,8,8,1,1,1,7,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
7,246,1,19,0,0,0,0,17,17,3,3,1,1,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,Malicious
138,257,1,104,8,0,0,0,299,299,62,62,46,46,24,23,0,1,149,149,23,0,0,0,0,0,0,0,0,Malicious
6,211,1,18,0,0,0,0,12,12,5,5,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,Malicious
4,180,1,14,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
51,308,5,21,2,0,0,0,20,20,1,1,1,1,1,5,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
6,256,1,16,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
89,331,5,204,43,0,0,15,100,100,38,38,16,16,9,12,0,2,16,16,7,0,0,0,0,0,0,0,0,Malicious
11,224,0,20,7,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
30,256,1,16,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
12,224,0,20,7,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
37,180,1,11,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
10,360,5,21,9,0,0,0,20,20,6,6,1,1,1,5,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
9,258,1,26,0,0,0,0,25,25,3,3,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,Malicious
10,258,1,31,0,0,0,0,30,30,4,4,1,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,0,Malicious
7,201,1,996,0,0,0,0,21,21,11,11,1,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,Malicious
4,300,1,15,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
14,224,0,20,7,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
9,180,1,9,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
12,180,1,9,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
12,180,1,8,0,0,0,0,30,30,4,4,1,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,0,Malicious
4,180,1,14,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
7,180,1,11,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
9,180,1,9,0,0,0,0,17,17,3,3,1,1,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
2,180,1,111714,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
16,180,1,10,0,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
37,180,1,11,0,0,0,0,10,10,2,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,Malicious
3,180,0,9,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
13,180,1,348,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
21,180,1,9,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
12,180,1,9,0,0,0,0,10,10,2,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,Malicious
1,180,1,111612,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
9,180,1,9,0,0,0,0,15,15,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,30,30,4,4,1,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,0,Malicious
4,180,1,14,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,11,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
7,180,1,10,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
23,277,1,26,0,0,0,0,25,25,8,8,1,1,1,5,0,0,2,3,0,1,0,0,0,0,0,0,0,Malicious
13,180,1,348,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
14,256,1,16,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
2,180,1,111612,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
2,180,1,111612,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,11,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
7,250,1,15,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
8,180,1,11,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
12,258,1,31,0,0,0,0,21,21,6,6,1,1,1,3,0,0,2,3,0,1,0,0,0,0,0,0,0,Malicious
2,180,0,8,0,0,0,0,30,30,4,4,1,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,0,Malicious
9,180,1,9,0,0,0,0,26,25,3,3,1,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,0,Malicious
7,201,1,996,0,0,0,0,15,15,4,4,1,1,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
8,256,2,22,15,0,0,0,21,21,11,11,1,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,21,21,10,10,1,1,1,2,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
12,180,1,9,0,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
3,250,1,15,0,0,0,0,19,19,1,1,1,1,1,15,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
17,180,1,10,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
15,180,1,10,0,0,0,0,35,35,33,32,0,0,2,1,0,6,0,0,0,0,1,0,0,0,9,0,0,Malicious
9,180,1,9,0,0,0,0,17,17,5,5,1,1,1,4,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
17,352,7,25,14,0,0,0,25,25,4,4,1,1,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
1,180,1,111612,0,0,0,0,24,24,8,8,1,1,1,7,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
76,180,1,11,0,0,0,0,12,12,3,3,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,Malicious
10,388,4,18,10,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
15,256,1,16,0,0,0,0,17,17,5,5,1,1,1,4,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
10,180,15,45,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
14,256,1,16,0,0,0,0,19,19,1,1,1,1,1,15,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
7,239,1,10,8,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
17,180,1,10,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
12,180,1,9,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
12,180,1,9,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
2,180,1,10,0,0,0,0,10,10,2,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,22,22,7,7,1,1,1,6,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
10,180,31,70,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
62,299,1,10,21,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,12,12,1,1,1,1,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
15,256,1,16,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
9,180,1,9,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
17,180,1,10,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
4,216,1,28,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
17,180,1,10,0,0,0,0,14,14,6,6,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
3,180,0,8,0,0,0,0,15,15,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
10,256,1,16,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,10,0,0,0,0,15,15,7,7,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
38,338,1,200006,13,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
12,180,1,9,0,0,0,0,17,17,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,25,25,4,4,1,1,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
8,246,1,19,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
7,257,3,16,50,0,0,0,17,17,3,3,1,1,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,Malicious
216,280,1,52,0,0,0,0,15,15,4,4,1,1,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
