index,pdfsize,metadata size,xref Length,obj,endobj,JS,Javascript,Class
2126,4,256,16,9,9,2,3,Malicious
4270,81,262,21,6,6,0,0,Benign
4894,37,298,12,12,12,0,0,Benign
6691,354,349,60,42,42,0,0,Benign
1320,1,180,111612,68,68,5,6,Malicious
8171,36,319,30,8,8,1,1,Malicious
2835,41,180,11,5,5,1,1,Malicious
5140,37,613,306,183,183,0,0,Benign
7657,139,273,236,124,124,0,0,Benign
7244,24,298,12,6,6,0,0,Benign
7982,44,229,72,21,21,0,0,Benign
4694,32,298,12,11,11,0,0,Benign
5171,85,272,21,12,12,0,0,Benign
5926,70,389,283,53,53,0,0,Benign
6868,143,295,269,60,60,0,0,Benign
2177,7,180,17,8,8,1,1,Malicious
4653,49,442,184,31,31,0,0,Benign
5963,61,366,83,107,107,2,3,Benign
4414,68,262,21,9,9,0,0,Benign
4157,344,382,248,187,187,0,0,Benign
8066,25,285,49,27,27,0,0,Benign
1952,37,180,11,9,9,2,3,Malicious
927,16,180,10,17,17,1,2,Malicious
3378,9,180,9,18,18,0,0,Malicious
6699,131,210,19,18,18,0,0,Benign
3966,54,358,38,37,37,0,0,Benign
5824,57,366,71,35,35,0,0,Benign
3539,9,180,9,0,1,0,0,Malicious
1075,23,277,30,14,14,2,3,Malicious
222,355,226,11,13,13,2,3,Malicious
1858,240,296,95,8,8,1,1,Malicious
7204,28,298,20,22,22,0,0,Benign
2897,511,281,107,9,9,1,1,Malicious
2570,16,180,10,39,39,0,0,Malicious
2083,9,226,32,9,9,1,2,Malicious
1545,2048,250,15,4,4,1,1,Malicious
6247,51,364,160,199,199,1,2,Benign
4619,78,262,21,199,199,0,0,Benign
2063,44,180,12,9,9,1,2,Malicious
5633,74,481,775,77,77,0,0,Benign
5192,83,283,32,11,11,0,0,Benign
4434,82,265,21,6,6,0,0,Benign
3501,8,256,22,12,12,1,2,Malicious
4366,37,298,12,6,6,0,0,Benign
1163,2,180,9,11,11,1,2,Malicious
1009,83,328,19,19,19,0,0,Malicious
6043,99,429,623,94,94,0,0,Benign
3381,7,180,11,15,15,1,1,Malicious
5285,404,333,96,130,130,0,0,Benign
7607,28,298,12,174,174,0,0,Benign
4570,98,283,45,36,36,0,0,Benign
5123,82,283,26,6,6,0,0,Benign
